"siteID","streamType","area","ratio_agri","agri_buffer","urb_buffer","for_buffer","grass_buffer","spec_buffer","FU_rich_buffer","fine_sub","sand","CPOM","temp","temp_coarse","speartaxa","abu_shr","perc_shred","EC_t1","EC_t2","O2_t1","O2_t2","NO2_t1","NO3_t1","PO4_t1","NH4_t1","NO2_t2","NO3_t2","PO4_t2","NH4_t2","TP_t1","TNb_t1","NP_ratio_t1","As_t1","Zn_t1","Pb_t1","Hg_t1","Cu_t1","Cd_t1","TP_t2","TNb_t2","NP_ratio_t2","As_t2","Zn_t2","Pb_t2","Hg_t2","Cu_t2","Cd_t2","pH_t1","pH_t2","flow_t1","flow_t2","sumTU_fu_date_t1","sumTU_fu_date_t2","sumTU_iv_date_t1","sumTU_iv_date_t2"
"S57","19.0",20.0075,47.22,44.4664553672359,22.0666499297791,1.05889727137667,32.4079974316083,9.23067511898542,19.1987503782136,70,60,0,20.3793227176221,18.186339321258,0.0918961014561762,74.96,6.12258233141662,711.5,618.6,3.58,2.485,0.8115,19.523,1.112,0.247,0.9,16.07,1.362,0.239,0.293,9.245,73.1648108237548,1,17,0.0725,0.0055,5.6,0.005,0.522,10.4,19.9233716475096,0.7,26,0.12,0.006,4.7,0.005,7.673,7.86,0.245,0.33,-1.65820765507176,-1.65582485801752,-0.540200721263533,-0.650304613890929
"S58","5.1",19.666875,27.83,69.7508809391784,13.9275003862985,5.04543317505591,11.2761854994672,69.7508809391784,69.7508809391784,30,20,10,17.0711953480437,15.3562567380278,0.433569101300968,2533.76,56.1430875861947,314.1,363.6,8.58,9.01,0.118,13.192,0.187,0.091,0.118,13.192,0.187,0.091,0.0305,2.575,82.3736263736264,6.95,1.25,0.025,0.0035,1.35,0.005,0.035,3.37,96.2857142857143,5.6,2,0.025,0.001,0.9,0.005,7.8205,7.45,0.27,0.285,-2.49122893736687,-2.49246985737181,-3.13810795627526,-2.87339207520108
"S112","5.1",9.456875,0,0,0.490832152739664,89.1288269953406,10.3803408519197,0,0,50,50,20,15.1,13.4,0.764210598905825,1270.64,53.4385303815356,NA,NA,NA,NA,0.0755,4.7815,0.1355,0.043,0.092,4.516,0.075,0.035,0.035,0.92375,17.7045454545455,7.35,0.5,0.025,0.003,0.35,0.005,0.055,1.81,32.9090909090909,5.7,0.5,0.025,0.001,0.1,0.005,7.6125,7.25,0.43125,0.3825,-3.51299501849993,-4.21315810293923,-6.12713325244134,-6.43731644774784
"S59","5.1",7.530625,34.65,40.1954703672793,19.2176374244819,20.4766925936378,20.110199614601,15.8431630555942,15.8431630555942,80,60,10,17.9140311545073,15.590226299895,0.321991145859418,246.56,27.2021182700794,237.2,208.95,8.19,8.64,0.1135,5.6,0.203,0.082,0.158,4.427,0.075,0.124,0.0365,0.8185,28.9390838206628,2.1,3,0.025,0.005,1.7,0.005,0.019,0.808,42.5263157894737,1.9,4,0.025,0.005,1.6,0.005,7.7045,7.38,0.27,0.27,-2.01297776482845,-1.89302246295008,-1.30776000667764,-1.10425032733646
"S60","5.1",5.97125,37.86,51.3213056922378,11.2914147562596,23.5344331461719,13.8528464053307,35.2408777088354,35.2408777088354,90,60,10,17.6507164404461,14.9996395931604,0.331673644490188,613.68,24.499377215675,226.5,203.7,8.23,7.345,0.186,3.121,0.217,0.667,0.26,1.505,0.075,1.243,0.0435,1.1905,53.5898268398268,2.3,4.25,0.1925,0.0045,3.9,0.005,0.021,2.19,104.285714285714,2,8,0.36,0.004,4.9,0.005,7.4075,6.73,0.11875,0.1425,-2.35013440372358,-1.68233291520862,-0.576389130784577,-0.883840240594274
"S114","5.1",10.6425,10.31,26.6911695124875,2.3076947425352,64.5817202758414,6.41941546913588,26.6911695124875,26.6911695124875,100,80,0,16.2629220809793,14.3503209594325,0.404713351344562,9566.64,61.6931926638636,147.4,72.7,8.595,9.28,0.097,7.548,0.2575,0.0885,0.099,6.906,0.193,0.095,0.0275,1.172,46.8387096774194,2.75,1.25,0.0475,0.0065,1.15,0.0125,0.024,1.92,80,2.4,2,0.07,0.007,0.9,0.005,7.986,8.03,0.23,0.24,-2.72995174377642,-2.68016853103127,-3.5739226557911,-3.74924400791763
"S96","14.0",8.2075,47.75,37.2686950277926,7.24437267505421,4.74021902080607,50.7467132763471,0,0,52.5,52.5,0,12.9842750616631,12.4458333333333,0.477019898814631,110.32,24.4460202091828,270.4,529.3,6.54,6.79,0.0905,7.348,1.442,0.133,0.092,6.684,2.809,0.149,0.03,1.7615,55.290757381258,0.6,3.5,0.025,0.001,1.75,0.03,0.041,2.65,64.6341463414634,0.6,3,0.025,0.001,0.1,0.02,7.66,7.67,0.39,0.39,-3.07706578764958,-3.15630015483933,-5.34207536249,-5.72996883568972
"S61","16.0",9.06375,53.94,42.6097789666026,0.093583993010318,7.14425063888454,50.1523864015025,0,0,25,25,0,13.3476511243386,13.4295506746308,0.530483701334285,587.6,45.1666461689829,378.2,333.4,7.74,7.77,0.17,22.7236666666667,0.283,0.380666666666667,0.2285,22.5095,0.387,0.5395,0.076,8.11,408.885779436153,0.2,2.66666666666667,0.0533333333333333,0.004,1,0.0566666666666667,0.1085,8.48,278.328669154229,0.275,2.5,0.0675,0.0055,1,0.04,7.535,7.51,0.2,0.2,-2.43764434996636,-2.35608728484049,-2.97843625326755,-2.72237467573671
"S63","16.0",13.24625,85.85,69.0555957013542,2.36479947879722,6.42855743400844,22.1510473858401,0,0,25,25,0,16.20852978474,15.4350411254156,0.450942710728458,104.96,38.5655496766608,652.8,656.6,6.67,6.54,0.458,22.4435,2.085,0.308,0.755,22.576,3.471,0.545,0.1655,8.31,52.1224750319141,1.2,1.25,0.0675,0.003,2.3,0.02,0.138,8.78,63.6231884057971,1.2,2,0.11,0.001,2.1,0.02,7.945,7.94,0.1,0.1,-2.12806435660863,-1.92357959603907,-2.44588698681941,-1.70808355357138
"S65","16.0",5.525,52.56,33.9065513696455,2.82529598021816,21.6065259467282,41.6616267034081,0,0,15,15,0,14.607235921728,13.9704421296296,0.649051396505123,191.28,53.8513513513513,550,549.1,5.09,7.26,0.068,18.4446666666667,1.86333333333333,0.0216666666666667,0.074,17.375,2.7575,0.0275,0.0426666666666667,6.32,187.725992317542,0.45,1.83333333333333,0.0766666666666667,0.002,2.76666666666667,0.0183333333333333,0.053,6.15,130.225352112676,0.65,1.75,0.025,0.001,1.4,0.025,7.845,7.86,0.23,0.23,-2.36820128604368,-2.42508218403895,-4.09799656213457,-4.11038140710133
"S66","18.0",9.37375,94.47,44.9684151124304,5.89254299546936,5.9405998227738,43.1984420693264,3.39316556768616,3.39316556768616,20,15,10,17.4,16.4,0.581130569878603,314.08,45.3820367587562,NA,NA,NA,NA,0.087,20.85,0.3895,0.0505,0.102,18.814,0.31,0.047,0.11,7.435,66.9833333333333,1.9,1.75,0.025,0.003,1.2,0.005,0.1,6.03,60.3,1.8,0.5,0.025,0.001,0.6,0.005,8.13666666666667,8.17,0.2,0.2,-2.51289306244324,-2.37847362973718,-3.46196946203254,-2.23291514598495
"S123","5.0",4.60625,0,0,0,86.9571284621384,13.0428715378616,0,0,15,5,10,18.1430730879369,17.0311145833333,0.31460409805094,20.64,8.13366960907944,277.78,283.88,7.54,7.75,0.025,2.745,0.075,0.077,NA,NA,NA,NA,0.003,1.08,360,0.85,3,0.025,0.001,0.7,0.0175,0.003,1.13,376.666666666667,0.7,4,0.025,0.001,0.1,0.005,6.9,6.9,0.28,0.28,-3.35954873348028,-4.19276530528734,-3.32794998778393,-2.87315952752024
"S70","14.0",16.728125,68.21,44.961002125693,1.24909173546637,16.7061912827408,37.0837148560998,2.94423792474066,2.94423792474066,60,60,0,17.3970350333478,16.5372369791667,0.673276640417387,203.6,32.3133570340274,871.49,818.07,NA,NA,0.531,74.2366666666667,0.385333333333333,0.612333333333333,0.23,108.588,0.23,0.167,0.0786666666666667,27.7733333333333,574.204421945639,0.55,2.16666666666667,0.025,0.003,1.16666666666667,0.005,0.043,39.6,920.93023255814,0.5,0.5,0.025,0.001,0.1,0.005,7.54,7.75,0.14,0.14,-2.2852315927589,-2.04653389376286,-3.06416811984374,-3.11215079322903
"S97","6.0",13.965,98.12,78.2229915325082,1.98506747794324,8.78292707591505,11.0090139136335,0,0,70,10,0,17.3586363210391,16.4346875,0.742690358408002,39.92,30.519877675841,608.97,599.82,6.905,7.6,0.167,14.21,0.7835,0.0995,0.167,14.83,0.665,0.079,0.123,5.53,44.9657534246575,2.5,3,0.025,0.002,2.55,0.005,0.146,6.56,44.9315068493151,2,2,0.025,0.001,0.9,0.005,7.98,8.04,0.01,0.01,-2.34238222456043,-2.30878531327877,-2.60298412475871,-2.73724721724852
"S74","16.0",30.43125,93.73,92.757285430555,0.177809992052833,0.722182563993311,6.34272201339886,0,0,30,30,40,18.0066100657685,17.5278823837711,0.454626087003048,75.28,17.9169840060929,1407.2,1468.25,NA,NA,0.072,1.549,0.451,0.056,0.0485,1.7485,0.448,0.0845,0.489,0.164,0.335378323108385,0.9,2,0.025,0.001,0.7,0.005,0.489,0.164,0.335378323108385,0.9,2,0.025,0.001,0.7,0.005,7.82,7.82,0.2,0.2,-2.18394753178701,-2.22102531181517,-1.9288959858612,-1.98423433205402
"S75","16.0",14.85,90.32,61.2944011893467,19.1499906158064,2.54237231046259,17.0132358843843,0,2.40580232397845,50,50,10,NA,NA,0.346244682152115,50.16,16.7378537106247,NA,NA,NA,NA,0.195,11.6866666666667,0.150333333333333,0.135,0.195,9.66533333333333,0.182666666666667,0.228,0.187,5.445,81.3300898203593,1.45,4,0.0875,0.0035,6.75,0.0125,0.04,5.91,147.75,1,2,0.025,0.004,1.1,0.005,8,8,0,0,-2.43346706290807,-2.40032381113642,-1.36975913942273,-1.3279577411475
"S98","7.0",268.031875,55.76,54.6240046678577,12.293531777253,0,33.0824635548893,0,0,10,0,0,20.5906943606988,18.6127994791667,0.653147795265896,17.6,1.43509458577952,896,809.8,8.12,8.075,0.573,12.985,0.120666666666667,0.0783333333333333,0.851,12.2176666666667,0.243333333333333,0.183666666666667,0.042,3.98,108.005428505429,1.03333333333333,5,0.025,0.001,4.73333333333333,0.0266666666666667,0.0305,3.675,126.70045045045,1,3.5,0.025,0.001,3.35,0.025,6.715,4.53,0.4,0.4,-1.62515318651122,-1.60494752655599,-1.21511596161921,-0.817977507169201
"S76","6.0",13.485,86.07,78.9151055880353,7.94636293539368,3.81051405704621,9.32801741952481,1.10173983465111,1.10173983465111,60,60,0,16.820979608297,15.7259895833333,0.521393661013251,5.6,9.58904109589041,889.2,857.2,8.16,8.13,0.282,23.661,1.1855,0.252,0.282,25.277,0.813,0.252,0.152,7.92,52.1052631578947,1.5,3,0.12,0.0125,5.85,0.005,0.152,8.21,54.0131578947368,1.2,2,0.09,0.015,4.6,0.005,8.25333333333333,8.24,0.02,0.02,-2.59400434340039,-2.79375055989934,-2.12574359349966,-1.84267703912621
"S99","16.0",39.644375,93.21,93.2558311160336,0,0.210000986080597,6.53416789788579,0,0,30,30,40,NA,22.088548951049,0.271830650028799,4.08,10.8510638297872,228.1,227,8.7,8.43,0.514,6.751,1.4475,0.722,0.514,6.751,1.4475,0.722,0.162,2.8,55.6828478964401,1.9,1.25,0.1,0.0165,3.15,0.005,0.162,2.8,55.6828478964401,1.9,1.25,0.1,0.0165,3.15,0.005,NA,NA,0,0,-1.85130901757939,-1.85130901757939,-0.852258304290112,-0.852258304290112
"S78","6.0",5.554375,90.12,79.4590430811279,0.23999746988973,9.00778611262084,11.2931733363615,0,0,50,50,0,14.215514011474,13.5838203125,0.377888160367734,200.96,43.1318681318681,945,981.9,6.56,6.55,0.413,30.2434,1.5818,0.3856,0.4255,33.9975,1.047,0.2775,0.1652,9.65,354.604494809428,0.7,0.5,0.025,0.015,2.1,0.0175,0.116,8.955,619.294529000411,0.75,0.5,0.025,0.02,1.8,0.0225,6.35,4.75,0.2,0.2,-2.57112523375917,-2.29552218209543,-2.57779018355956,-2.30456339544205
"S80","5.0",8.851875,23.6,68.6476834568601,13.3649094155185,8.0820780651565,9.90532906246492,0,0,75,5,0,19.4037446625344,16.6587767857143,0.392402407526806,270.88,44.3193717277487,986.3,1110.7,7.49,7.82,0.232,6.52233333333333,0.821666666666667,0.108666666666667,0.248,8.4995,0.8905,0.127,0.134666666666667,2.63,44.5211034449216,1.5,2,0.103333333333333,0.00633333333333333,4.26666666666667,0.005,0.1605,3.68,63.588884083045,0.95,2,0.1,0.0075,3.8,0.005,8.8,8.8,0.8,0.8,-2.2616207324744,-2.13021377308846,-2.20152671939716,-1.82595989280001
"S81","6.0",18.47875,93.1,67.9002949865142,10.2672482138733,7.68504380704091,14.1474129925716,0.16951886212384,0.16951886212384,90,90,0,16.7454916189454,15.5348333333333,0.315273059583432,77.28,24.7565351101999,567.77,482.3,NA,NA,0.304333333333333,35.414,0.933666666666667,0.309333333333333,0.371,27.158,1.224,0.4085,0.151333333333333,12.4166666666667,208.459260154739,1.16666666666667,4,0.263333333333333,0.004,4.7,0.0216666666666667,0.2035,10.775,145.667613636364,1.3,4,0.25,0.0035,5.05,0.0225,8.28,8.28,0.24,0.24,-2.4256745890798,-2.32600997402191,-1.82101891794036,-1.82048220885883
"S101","18.0",52.515625,86.46,87.0328580658603,4.27929352036885,3.58427857317787,5.10356984059298,0,0,15,15,70,18.9941894308943,19.0353098958333,0,96.8,19.1576947435086,1123.1,1181.2,3.78,3.81,0.44,2.191,0.57525,0.269,0.297,2.014,0.7055,0.3475,0.096,1.555,27.1276920083031,1.925,1.25,0.11375,0.004,2.75,0.005,0.086,1.72,20.1463414634146,2,1.25,0.14,0.005,1.7,0.005,7.55,7.55,0.001,0.001,-2.54572799899616,-2.79887562593064,-2.35980241187824,-1.27202174039484
"S116","5.1",1.631875,0,0,0,80.0146669264753,19.9853330735247,0,0,7.5,7.5,5,14.2809132450607,NA,0.721390764761334,158.8,31.9800225551796,128.7,124.6,9.55,9.835,0.025,2.4345,0.122,0.01,0.025,2.39,0.169,0.01,0.027,0.4515,18.4897435897436,0.7,0.5,0.025,0.0025,0.55,0.0175,0.039,0.566,14.5128205128205,0.7,0.5,0.025,0.004,0.1,0.005,7.3,7.5,0.24,0.3,-3.63918935941599,-3.64832890675351,-5.47295502360446,-5.37095147343903
"S83","6.0",5.085,75.52,75.6371763631218,0.215189107532515,0.521623360005329,23.6260111693404,0,0,10,10,0,13.8,13.2925795053004,0.532352577554506,224,27.5454992621741,NA,380.5,NA,7.77,1.03966666666667,81.1273333333333,3.20833333333333,0.855333333333333,1.5055,82.7135,4.71,1.2585,0.454,14.6426666666667,492.656791088528,0.7,0.5,0.025,0.0366666666666667,3.06666666666667,0.0333333333333333,0.6705,10.914,212.794710442316,0.75,0.5,0.025,0.0525,3.95,0.035,8.3,8.4,0.5,0.5,-2.07732685520312,-2.01564829396846,-1.84630014805339,-1.70439023852972
"S118","6.0",1.509375,0.16,0,0,99.1858529710295,0.814147028970496,0,0,42.5,22.5,30,NA,13.3,0.99023375613635,174.48,37.448489010989,NA,NA,NA,NA,0.283666666666667,13.0146666666667,0.946333333333333,0.104,0.348,13.8703333333333,1.247,0.123666666666667,0.539,6.12333333333333,47.705556234968,2.2,1,0.193333333333333,0.0306666666666667,1.56666666666667,0.01,0.802,8.645,30.0198728139905,2.3,1.25,0.18,0.0455,1.8,0.0125,8.25,8.3,0.3,0.3,-2.55893820524858,-2.48113620557262,-4.64240014432305,-4.45216666988025
"S102","5.1",12.965,51.13,85.993679636224,0.157530803417402,0.998896730124696,12.8498928302339,0,0,95,80,0,16.8085542168675,16.701494707693,0.460404268640506,39.28,22.1770551038844,864.9,1017.5,8.255,8.2,0.105,24.9885,0.207,0.102,0.105,26.073,0.221,0.102,0.104,8.645,116.903203817314,1.05,1.25,0.025,0.0075,2.35,0.005,0.163,9.35,57.361963190184,1.1,0.5,0.025,0.009,3.8,0.005,8.08,8.13,0.35,0.35,-2.52978210208361,-2.49481107264034,-5.06938930080217,-5.00025868995597
"S86","6.0",8.78875,88.06,69.1033792504316,18.3557157943696,0.019748005019569,12.5211569501792,0,0,0,0,12.5,NA,NA,0.301274824556098,0.16,0.126582278481013,NA,NA,NA,NA,0.197,2.258,5.422,2.437,0.197,2.258,5.422,2.437,1.44,6.63,4.60416666666667,2.6,13.5,0.1025,0.007,2.3,0.005,1.44,6.63,4.60416666666667,2.6,13.5,0.1025,0.007,2.3,0.005,6.9,6.9,0.6,0.6,-2.03249990317093,-2.03249990317093,-2.27255909309493,-2.27255909309493
