"siteID","streamType","area","ratio_agri","agri_buffer","urb_buffer","for_buffer","grass_buffer","spec_buffer","FU_rich_buffer","fine_sub","sand","CPOM","temp","temp_coarse","speartaxa","abu_shr","perc_shred","EC_t1","EC_t2","O2_t1","O2_t2","NO2_t1","NO3_t1","PO4_t1","NH4_t1","NO2_t2","NO3_t2","PO4_t2","NH4_t2","TP_t1","TNb_t1","NP_ratio_t1","As_t1","Zn_t1","Pb_t1","Hg_t1","Cu_t1","Cd_t1","TP_t2","TNb_t2","NP_ratio_t2","As_t2","Zn_t2","Pb_t2","Hg_t2","Cu_t2","Cd_t2","pH_t1","pH_t2","flow_t1","flow_t2","sumTU_fu_date_t1","sumTU_fu_date_t2","sumTU_iv_date_t1","sumTU_iv_date_t2"
"S20","2.1",22.550625,78.62,70.2109653980832,4.07474440873732,5.4454320270455,20.268858166134,0,0.720025813445745,5,0,0,20.6112247487082,18.3469533847522,0.410063692682696,299.52,28.6523302976965,714.9,742,7.04,8.13,0.4415,31.452,0.367,0.134,0.328,29.615,0.075,0.027,0.228333333333333,10.9333333333333,1327.10516904624,1.56666666666667,1,0.025,0.002,6.06666666666667,0.005,0.003,11.6,3866.66666666667,1.3,0.5,0.025,0.001,1.1,0.005,7.84,6.9,0.325,0.25,-2.68712825792233,-2.62774452248634,-3.18673349848228,-3.79690624986898
"S21","5.0",8.09375,15.94,11.1792044915913,9.48116512279755,27.8077557509519,51.5318746346592,0,0,10,0,0,17.4583396654423,15.6638858636821,0.462161174228436,199.76,51.000816993464,249.2,216,7.79,8.35,0.0535,7.0165,0.2145,0.03,0.082,8.455,0.233,0.037,0.057,2.115,72.7596153846154,0.05,0.5,0.025,0.004,1.6,0.005,0.104,3.07,29.5192307692308,0.05,0.5,0.025,0.004,1.6,0.005,6.115,7.5,0.125,0.2,-2.51270745964518,-2.42946045093882,-4.57968075574204,-4.07513567463312
"S22","5.0",11.9075,42.84,21.2553480622372,0.536076762412403,52.2443044875751,25.9642706877753,0,0,70,5,0,17.6245022982202,16.0198964404022,0.128841333150602,24.56,1.92730240441961,375.2,324.15,7.5,7.87,0.128,11.8195,0.773,0.0835,0.144,11.111,0.813,0.09,0.1425,2.4435,15.6150442477876,0.475,0.5,0.025,0.0055,2.05,0.005,0.226,4.12,18.2300884955752,0.05,0.5,0.025,0.008,2.2,0.005,6.95,6.95,0.175,0.3,-2.72607342190949,-2.83201966201008,-3.83186975741834,-2.60866604453225
"S23","5.0",18.249375,30.04,35.7964827485792,8.33286004539914,28.2603507267116,27.6103064793101,0,0,7.5,5,0,15.677805907173,16.05954556376,0.44777731653272,232.32,33.6227856894755,273.7,335.3,7.88,8.27,0.056,15.6485,0.1155,0.0325,0.059,15.759,0.075,0.039,0.011,3.855,350.454545454545,0.1875,3.75,0.06125,0.00233333333333333,3.5,0.005,0.011,4.51,410,0.05,4.75,0.0975,0.001,3.65,0.005,5.905,6.58,0.325,0.4,-2.36456633240233,-2.48090392757137,-3.44187130855493,-3.71439522234233
"S26","16.0",7.505625,34.6,53.1730534645437,3.35265351153322,8.62873466215015,34.8455583617729,0,0,25,0,2.5,17.194645518405,15.5277060185185,0.395237272160445,531.76,51.9540409566985,480.9,545.45,5.64,4.235,0.114,3.33466666666667,2.27366666666667,0.272333333333333,0.1035,3.165,1.334,0.214,0.16,1.77333333333333,11.0745847110691,1.96666666666667,1.33333333333333,0.025,0.003,0.733333333333333,0.02,0.167,2.04,12.3653017241379,1.65,0.5,0.025,0.004,0.7,0.02,7.745,7.85,0.013,0.013,-2.61873303576433,-2.52652317029717,-2.30993156413147,-1.30593620445603
"S28","11.0",9.039375,93.59,84.2437496655758,1.75583724937829,0,14.0004130850459,0,0,72.5,52.5,10,14.7593430814355,14.7488217592593,0.621445293662046,58.48,17.9342492639843,682,685.45,4.51,6.38,0.0543333333333333,3.45266666666667,0.911,0.0673333333333333,0.055,3.6295,0.9465,0.06,0.0383333333333333,0.871666666666667,20.21800625595,0.266666666666667,2.5,0.025,0.001,0.7,0.005,0.05,1.235,25.4936760505916,0.375,1.75,0.025,0.001,0.65,0.005,7.765,7.72,0.1,0.1,-2.37000993562282,-2.29332575464609,-3.48720408028354,-2.5542896377232
"S29","14.0",13.975,77.27,56.3312814092856,3.52461706334441,26.9209374337157,13.2231640936543,0,0,57.5,47.5,17.5,17.7482745680894,16.9172685185185,0.403092549275157,73.68,11.0643921191735,706.75,572.55,2.3,2.48,0.0685,2.5455,1.334,0.591,0.025,1.594,1.748,0.984,0.199,2.88,14.2633220189309,3.25,1.25,0.025,0.027,1.05,0.005,0.141,1.91,13.5460992907801,2.9,0.5,0.025,0.05,1,0.005,7.425,7.45,0,0,-2.3053549499689,-2.46043021065564,-2.55890800500869,-2.08605035070522
"S90","14.0",15.931875,63.22,41.3661665809486,0.155982682986413,16.0875834030362,42.3902673330288,0,0,57.5,57.5,0,18.7,18.3,0.49190999857773,135.04,20.9559279950341,NA,NA,NA,NA,0.1785,8.0125,0.075,0.0225,0.144,6.375,0.075,0.035,0.014,2.75,514.8,0.9,0.5,0.025,0.001,1.05,0.005,0.025,2.74,109.6,1,0.5,0.025,0.001,0.6,0.005,7.515,7.56,0,0,-2.81568896720486,-3.04597772396334,-5.3337151713404,-5.21434237481402
"S30","14.0",9.13,48.56,10.9265259772123,0.975325054521536,30.7273503189703,57.3707986492959,0,0,22.5,12.5,65,17.4302801883454,16.7997830332289,0.345917400465026,49.2,7.17870899964982,480.1,477.4,3.83,3.34,0.298,9.606,0.549666666666667,0.515,0.2975,8.92,0.4765,0.696,0.096,4.14,49.1608559795474,1.56666666666667,4.66666666666667,0.318333333333333,0.00466666666666667,3.9,0.015,0.119,4.975,49.0412839693211,1.4,3.5,0.3975,0.005,4.4,0.0125,7.48,7.37,0.08,0.08,-2.46417803121686,-2.41820057015891,-2.75104640119451,-2.74800682336502
"S31","14.0",11.216875,46.3,51.4070126402023,6.56814398149596,33.6772522046154,8.34759117368634,30.6443056553752,30.6443056553752,42.5,37.5,12.5,NA,NA,0.2395402509634,280.32,50.5190311418685,NA,NA,NA,NA,0.113,5.917,0.326,0.33,0.102,5.976,0.285,0.115,0.0953333333333333,2.52333333333333,46.2778530767146,0.516666666666667,1.33333333333333,0.118333333333333,0.00433333333333333,1.4,0.01,0.034,1.65,48.5294117647059,0.8,0.5,0.025,0.001,0.1,0.005,7.995,7.92,0.22,0.22,-2.74589933704921,-2.42179821589359,-0.554764002830595,-0.0832068928162998
