siteID;type;rep_number;weight;weight_60;weight_500;comment
S35;fine;1;3.1561;0.4303;0.0132;
S35;fine;2;3.288;0.462;0.0112;
S35;fine;3;4.1912;0.4903;0.0167;
S37;coarse;1;1.4641;0.2521;0.0041;
S37;coarse;2;2.9543;0.4273;0.0064;
S37;coarse;3;NA;NA;NA;empty
S37;fine;1;3.9437;0.0535;0.0238;
S37;fine;2;3.5295;0.483;0.0093;
S37;fine;3;3.3086;0.4498;0.0098;
S38;coarse;1;NA;NA;NA;empty
S38;coarse;2;NA;NA;NA;empty
S38;coarse;3;NA;NA;NA;empty
S38;fine;1;3.9544;0.5054;0.0115;
S38;fine;2;4.0239;0.4777;0.0127;
S38;fine;3;4.4026;0.4792;0.0116;
S39;coarse;1;0.6326;0.1268;0.0053;
S39;coarse;2;NA;NA;NA;empty
S39;coarse;3;NA;NA;NA;empty
S39;fine;1;3.2112;0.493;0.0581;
S39;fine;2;3.5371;0.4895;0.03;
S39;fine;3;3.3245;0.4056;0.0265;
S106;coarse;1;1.7621;0.3183;0.0197;
S106;coarse;2;1.119;0.2648;0.0018;
S106;coarse;3;1.401;0.3406;0.0021;
S106;fine;1;3.3516;0.6663;0.1357;
S106;fine;2;3.9601;0.5773;0.0459;
S106;fine;3;3.5243;0.4989;0.0041;
S92;coarse;1;2.593;0.3773;0.0036;
S92;coarse;2;2.3951;0.2214;0.0018;
S92;coarse;3;3.2186;0.3901;0.0089;
S92;fine;1;4.6891;0.4397;0.0207;
S92;fine;2;4.2928;0.4671;0.0215;
S92;fine;3;4.5158;0.4155;0.0175;
S93;coarse;1;NA;NA;NA;empty
S93;coarse;2;NA;NA;NA;empty
S93;coarse;3;NA;NA;NA;empty
S93;fine;1;2.7821;0.4902;0.0422;
S93;fine;2;3.1926;0.4807;0.044;
S93;fine;3;2.7676;0.4478;0.0061;
S43;coarse;1;0.744;0.111;0.018;
S43;coarse;2;NA;NA;NA;empty
S43;coarse;3;NA;NA;NA;empty
S43;fine;1;2.5932;0.3888;0.0325;
S43;fine;2;2.8656;0.427;0.0531;
S43;fine;3;3.436;0.4551;0.018;
S107;coarse;1;2.995;0.435;0.0027;
S107;coarse;2;3.522;0.454;0.003;
S107;coarse;3;2.943;0.447;0.0027;
S107;fine;1;3.6514;0.5241;0.008;
S107;fine;2;3.8416;0.4355;0.003;
S107;fine;3;2.9325;0.523;0.0164;
S44;coarse;1;2.3277;0.4228;0.0052;
S44;coarse;2;2.617;0.4513;0.0157;
S44;coarse;3;2.5839;0.4381;0.0412;
S44;fine;1;3.5354;0.498;0.0114;
S44;fine;2;3.3195;0.5929;0.0242;
S44;fine;3;3.4694;0.5243;0.0308;
S108;coarse;1;1.929;0.325;0.002;
S108;coarse;2;1.405;0.285;0.0248;
S108;coarse;3;1.635;0.277;0.0022;
S108;fine;1;3.6514;0.5241;0.008;
S108;fine;2;3.8416;0.4355;0.003;
S108;fine;3;2.9325;0.523;0.0164;
S45;coarse;1;2.2206;0.2022;0.0043;
S45;coarse;2;2.4665;0.3904;0.0049;
S45;coarse;3;1.0982;0.3539;0.0036;
S45;fine;1;2.8543;0.5388;0.0186;
S45;fine;2;4.8176;0.5492;0.0241;
S45;fine;3;4.4038;0.5907;0.0466;
S109;coarse;1;NA;NA;NA;empty
S109;coarse;2;NA;NA;NA;empty
S109;coarse;3;NA;NA;NA;empty
S109;fine;1;4.0067;0.5584;0.0177;
S109;fine;2;4.029;0.5301;0.0254;
S109;fine;3;3.7734;0.5696;0.0253;
S48;coarse;1;2.162;0.3629;0.0037;
S48;coarse;2;1.949;0.4058;0.0106;
S48;coarse;3;1.967;0.3769;0.0062;
S48;fine;1;4.2929;0.3846;0.0096;
S48;fine;2;2.5313;0.3692;0.0106;
S48;fine;3;2.7126;0.3687;0.0156;
S49;coarse;1;1.7813;0.3691;0.0153;
S49;coarse;2;1.2887;0.2717;0.006;
S49;coarse;3;1.9972;0.3926;0.0054;
S49;fine;1;3.185;0.5066;0.0292;
S49;fine;2;3.8965;0.519;0.01;
S49;fine;3;2.4469;0.5052;0.0278;
S95;coarse;1;0.528;0.249;0.0434;
S95;coarse;2;0.0203;0.109;0.0059;
S95;coarse;3;1.175;0.262;0.0239;
S95;fine;1;3.8195;0.5458;0.0326;
S95;fine;2;3.2051;0.3484;0.0158;
S95;fine;3;3.2675;0.4123;0.0209;
S50;coarse;1;NA;NA;NA;empty
S50;coarse;2;NA;NA;NA;empty
S50;coarse;3;NA;NA;NA;empty
S50;fine;1;0.5488;0.0841;0.0029;
S50;fine;2;2.0841;0.3672;0.0056;
S50;fine;3;1.802;0.2417;0.0072;
S53;coarse;1;NA;NA;NA;empty
S53;coarse;2;NA;NA;NA;empty
S53;coarse;3;NA;NA;NA;empty
S53;fine;1;0.578;0.1206;0.0016;
S53;fine;2;2.955;0.4732;0.0041;
S53;fine;3;2.916;0.4774;0.0044;
S56;coarse;1;NA;NA;NA;empty
S56;coarse;2;NA;NA;NA;empty
S56;coarse;3;NA;NA;NA;empty
S56;fine;1;2.637;0.3354;0.004;
S56;fine;2;2.501;0.3862;0.0243;
S56;fine;3;1.934;0.2979;0.0361;
S57;coarse;1;NA;NA;NA;empty
S57;coarse;2;NA;NA;NA;empty
S57;coarse;3;NA;NA;NA;empty
S57;fine;1;1.459;0.3211;0.1656;
S57;fine;2;1.869;0.1888;0.0035;
S57;fine;3;0.802;0.1054;0.0041;
S58;coarse;1;NA;NA;NA;empty
S58;coarse;2;NA;NA;NA;empty
S58;coarse;3;NA;NA;NA;empty
S58;fine;1;2.2505;0.3579;0.0069;
S58;fine;2;0.6001;0.1135;0.0121;
S58;fine;3;NA;NA;NA;empty
S112;coarse;1;1.218;0.229;0.0034;
S112;coarse;2;0.365;0.076;0.0046;
S112;coarse;3;1.721;0.727;0.0037;
S112;fine;1;2.047;0.3604;0.0044;
S112;fine;2;2.926;0.4239;0.0086;
S112;fine;3;3.054;0.4507;0.0087;
S59;coarse;1;0.456;0.0874;0.0016;
S59;coarse;2;NA;NA;NA;empty
S59;coarse;3;NA;NA;NA;lost
S59;fine;1;2.66;0.3979;0.046;
S59;fine;2;3.1039;0.2767;0.0084;
S59;fine;3;1.4129;0.515;0.0133;
S60;coarse;1;0.078;0.0238;0.0027;
S60;coarse;2;NA;NA;NA;empty
S60;coarse;3;NA;NA;NA;empty
S60;fine;1;2.256;0.4446;0.0546;
S60;fine;2;2.58;0.3459;0.0197;
S60;fine;3;3.864;0.378;0.0337;
S114;coarse;1;NA;NA;NA;empty
S114;coarse;2;NA;NA;NA;empty
S114;coarse;3;NA;NA;NA;empty
S114;fine;1;2.717;0.4114;0.0164;
S114;fine;2;2.582;0.3957;0.0043;
S114;fine;3;1.951;0.3442;0.0041;
S96;coarse;1;0.9461;0.2713;0.0025;
S96;coarse;2;1.0628;0.3096;0.0031;
S96;coarse;3;1.7628;0.3711;0.0036;
S96;fine;1;2.9415;0.4713;0.0153;
S96;fine;2;2.8818;0.4864;0.007;
S96;fine;3;2.4274;0.4427;0.0073;
S61;coarse;1;NA;NA;NA;empty
S61;coarse;2;NA;NA;NA;empty
S61;coarse;3;NA;NA;NA;empty
S61;fine;1;2.458;0.5268;0.0583;
S61;fine;2;2.3316;0.4569;0.016;
S61;fine;3;2.6741;0.5098;0.026;
S63;coarse;1;0.2717;0.0822;0.0013;
S63;coarse;2;NA;NA;NA;empty
S63;coarse;3;NA;NA;NA;empty
S63;fine;1;2.5473;0.3495;0.0051;
S63;fine;2;1.78;0.2878;0.0059;
S63;fine;3;1.0844;0.2408;0.0036;
S65;coarse;1;NA;NA;NA;empty
S65;coarse;2;NA;NA;NA;empty
S65;coarse;3;NA;NA;NA;empty
S65;fine;1;3.084;0.4987;0.0798;
S65;fine;2;3.131;0.5093;0.0178;
S65;fine;3;3.514;0.4872;0.0077;
S66;coarse;1;NA;NA;NA;empty
S66;coarse;2;NA;NA;NA;empty
S66;coarse;3;NA;NA;NA;empty
S66;fine;1;2.3072;0.3447;0.0208;
S66;fine;2;0.0521;0.0159;0.008;
S66;fine;3;2.146;0.3548;0.0145;
S123;coarse;1;1.849;0.486;0.0028;
S123;coarse;2;3.318;0.509;0.0044;
S123;coarse;3;3.232;0.508;0.0038;
S123;fine;1;4.133;0.5505;0.0094;
S123;fine;2;3.8039;0.548;0.0116;
S123;fine;3;3.7298;0.453;0.0046;
S70;coarse;1;NA;NA;NA;empty
S70;coarse;2;NA;NA;NA;empty
S70;coarse;3;NA;NA;NA;empty
S70;fine;1;3.013;0.4418;0.0071;
S70;fine;2;3.191;0.4326;0.0264;
S70;fine;3;2.66;0.437;0.0264;
S97;coarse;1;1.196;0.298;0.0206;
S97;coarse;2;1.295;0.25;0.0048;
S97;coarse;3;2.0463;0.382;0.0082;
S97;fine;1;2.197;0.3807;0.0343;
S97;fine;2;1.5805;0.4513;0.1243;
S97;fine;3;3.8705;0.463;0.0806;
S74;coarse;1;0.099;0.0599;0.0085;
S74;coarse;2;0.066;0.062;0.003;
S74;coarse;3;NA;NA;NA;empty
S74;fine;1;1.1553;0.6475;0.0115;
S74;fine;2;1.3832;0.5905;0.0558;
S74;fine;3;1.7611;1.0411;0.3945;
S75;coarse;1;1.4;0.379;0.0633;
S75;coarse;2;2.227;0.418;0.0111;
S75;coarse;3;1.774;0.6424;0.0162;
S75;fine;1;2.409;0.4137;0.0208;
S75;fine;2;2.665;0.4717;0.0213;
S75;fine;3;2.723;0.4639;0.0242;
S98;coarse;1;0.586;0.066;0.0025;
S98;coarse;2;NA;NA;NA;empty
S98;coarse;3;NA;NA;NA;empty
S98;fine;1;2.228;0.281;0.0091;
S98;fine;2;2.4261;0.3606;0.0132;
S98;fine;3;3.407;0.3416;0.0084;
S76;coarse;1;NA;NA;NA;empty
S76;coarse;2;NA;NA;NA;empty
S76;coarse;3;NA;NA;NA;empty
S76;fine;1;2.9989;0.521;0.014;
S76;fine;2;3.2338;0.4478;0.0434;
S76;fine;3;3.131;0.5118;0.0152;
S99;coarse;1;NA;NA;NA;dried out
S99;coarse;2;NA;NA;NA;dried out
S99;coarse;3;NA;NA;NA;dried out
S99;fine;1;0.7703;0.5633;0.0029;dried out
S99;fine;2;1.1118;0.6207;0.081;dried out
S99;fine;3;2.4493;0.4092;0.0954;dried out
NA;coarse;1;0.891;0.2116;0.0026;sampling site not assignable
NA;coarse;2;1.153;0.2558;0.0048;sampling site not assignable
NA;coarse;3;1.766;0.4038;0.004;sampling site not assignable
NA;fine;1;NA;NA;NA;lost
NA;fine;2;NA;NA;NA;lost
NA;fine;3;NA;NA;NA;lost
S78;coarse;1;NA;NA;NA;lost
S78;coarse;2;NA;NA;NA;lost
S78;coarse;3;NA;NA;NA;lost
S78;fine;1;3.5508;0.5409;0.0443;
S78;fine;2;3.3955;0.4793;0.0203;
S78;fine;3;4.8205;0.4978;0.009;
S80;coarse;1;NA;NA;NA;empty
S80;coarse;2;NA;NA;NA;empty
S80;coarse;3;NA;NA;NA;empty
S80;fine;1;NA;NA;NA;empty
S80;fine;2;NA;NA;NA;empty
S80;fine;3;NA;NA;NA;empty
S81;coarse;1;NA;NA;NA;empty
S81;coarse;2;NA;NA;NA;empty
S81;coarse;3;NA;NA;NA;empty
