siteID;type;dateOUT;dateIN;rep_number;leafbag;weight_start;rest_weight_60;rest_weight_500;comments
S78;fine;06.06.2019;13.06.2019;1;99;5.999;4.067;0.472;
S78;fine;06.06.2019;13.06.2019;2;37;6.24;4.442;0.77;
S78;fine;06.06.2019;13.06.2019;3;525;5.98;4.544;0.881;
S80;fine;07.06.2019;13.06.2019;1;678;6.048;7.128;2.855;
S80;fine;07.06.2019;13.06.2019;2;638;6.05;6.155;2.148;
S80;fine;07.06.2019;13.06.2019;3;722;5.993;5.512;1.743;
S81;fine;06.06.2019;14.06.2019;1;721;6.012;5.772;1.936;
S81;fine;06.06.2019;14.06.2019;2;50;5.954;4.851;1.453;
S81;fine;06.06.2019;14.06.2019;3;577;6.031;5.523;1.878;
S101;fine;07.06.2019;14.06.2019;1;619;6.008;4.563;0.282;
S101;fine;07.06.2019;14.06.2019;2;740;6.043;4.557;0.299;
S101;fine;07.06.2019;14.06.2019;3;227;5.992;4.42;0.266;
S116;fine;03.06.2019;11.06.2019;1;261;6.039;4.546;0.454;
S116;fine;03.06.2019;11.06.2019;2;83;6.043;5.021;0.874;
S116;fine;03.06.2019;11.06.2019;3;594;5.982;4.502;0.598;
S83;fine;03.06.2019;11.06.2019;1;723;5.96;8.159;4.678;
S83;fine;03.06.2019;11.06.2019;2;68;6.04;9.664;5.654;
S83;fine;03.06.2019;11.06.2019;3;211;5.989;6.402;2.865;do not use
S118;fine;03.06.2019;11.06.2019;1;621;5.982;10.088;6.263;
S118;fine;03.06.2019;11.06.2019;2;3;6.041;19.838;8.818;
S118;fine;03.06.2019;11.06.2019;3;16;6.047;36.536;30.012;
S102;fine;04.06.2019;11.06.2019;1;231;5.952;7.171;2.719;
S102;fine;04.06.2019;11.06.2019;2;97;6.026;4.853;0.846;
S102;fine;04.06.2019;11.06.2019;3;205;5.99;4.812;0.757;
S86;fine;03.06.2019;11.06.2019;1;567;6.022;4.573;0.704;
S86;fine;03.06.2019;11.06.2019;2;106;5.982;4.729;0.595;
S86;fine;03.06.2019;11.06.2019;3;110;5.964;4.801;0.721;
